step,loss
0,2.995732307434082
1,2.9957308769226074
2,2.995729446411133
3,2.9957284927368164
4,2.9957289695739746
5,2.9957289695739746
6,2.9957220554351807
7,2.9957215785980225
8,2.9957125186920166
9,2.9957175254821777
10,2.9957211017608643
11,2.995680093765259
12,2.9957146644592285
13,2.9957120418548584
14,2.9957005977630615
15,2.9956624507904053
16,2.9956564903259277
17,2.99565052986145
18,2.9956395626068115
19,2.9957151412963867
20,2.9956581592559814
21,2.995677947998047
22,2.9956860542297363
23,2.995694160461426
24,2.9956698417663574
25,2.9956257343292236
26,2.9956326484680176
27,2.995605230331421
28,2.9954962730407715
29,2.995603561401367
30,2.995476245880127
31,2.995479106903076
32,2.995375156402588
33,2.995528221130371
34,2.99560809135437
35,2.9956681728363037
36,2.9953839778900146
37,2.9954569339752197
38,2.995647430419922
39,2.9956583976745605
40,2.9957005977630615
41,2.9955382347106934
42,2.9954447746276855
43,2.995610237121582
44,2.9954919815063477
45,2.9955780506134033
46,2.9955272674560547
47,2.995680332183838
48,2.9952406883239746
49,2.995424270629883
50,2.9955427646636963
51,2.9956066608428955
52,2.9953508377075195
53,2.9953627586364746
54,2.995554208755493
55,2.9952709674835205
56,2.9955050945281982
57,2.9955966472625732
58,2.9956750869750977
59,2.9956600666046143
60,2.9954261779785156
61,2.9954395294189453
62,2.9955976009368896
63,2.9952025413513184
64,2.99548077583313
65,2.9953155517578125
66,2.9954769611358643
67,2.9951541423797607
68,2.995540142059326
69,2.9953737258911133
70,2.9955782890319824
71,2.9953691959381104
72,2.9953079223632812
73,2.9948511123657227
74,2.995177745819092
75,2.995434045791626
76,2.99499773979187
77,2.9951791763305664
78,2.9952757358551025
79,2.995281457901001
80,2.9953887462615967
81,2.9953536987304688
82,2.995351791381836
83,2.9951958656311035
84,2.995237112045288
85,2.99493670463562
86,2.9949426651000977
87,2.995022773742676
88,2.9953439235687256
89,2.994907855987549
90,2.995694637298584
91,2.995048999786377
92,2.99462628364563
93,2.9952895641326904
94,2.995159387588501
95,2.9943172931671143
96,2.9953277111053467
97,2.995678424835205
98,2.995215892791748
99,2.9948971271514893
100,2.9947211742401123
101,2.995004177093506
102,2.995532751083374
103,2.9954781532287598
104,2.994985580444336
105,2.9954559803009033
106,2.9949469566345215
107,2.9951257705688477
108,2.995604991912842
109,2.994377613067627
110,2.9951772689819336
111,2.9951751232147217
112,2.994410514831543
113,2.995584487915039
114,2.995204448699951
115,2.9946091175079346
116,2.995306968688965
117,2.995431661605835
118,2.9952120780944824
119,2.9944138526916504
120,2.994396448135376
121,2.9948196411132812
122,2.9946775436401367
123,2.995007038116455
124,2.9937515258789062
125,2.9952826499938965
126,2.994389533996582
127,2.9950127601623535
128,2.9938457012176514
129,2.9944939613342285
130,2.9944872856140137
131,2.9950098991394043
132,2.9955122470855713
133,2.9942820072174072
134,2.9954416751861572
135,2.994706630706787
136,2.993910074234009
137,2.9951112270355225
138,2.9953830242156982
139,2.9954376220703125
140,2.9936506748199463
141,2.994936227798462
142,2.994140863418579
143,2.9944264888763428
144,2.9948742389678955
145,2.9949119091033936
146,2.9940221309661865
147,2.9946835041046143
148,2.9948785305023193
149,2.9945647716522217
150,2.9948904514312744
151,2.9946951866149902
152,2.995083808898926
153,2.9949867725372314
154,2.994694232940674
155,2.9932334423065186
156,2.994922399520874
157,2.994330406188965
158,2.993758201599121
159,2.993819236755371
160,2.994688034057617
161,2.9941368103027344
162,2.994804859161377
163,2.994333028793335
164,2.994793653488159
